model,ybase,lag,ytransform,dtransform,mtransform,sample_rule,yvar,dvar,mvar,N,beta_b,beta_se,beta_p,path1_b,path1_se,path1_p,path2_b,path2_se,path2_p,direct_b,direct_se,direct_p,attenuation,r2w,theory10,theory05,path1_theory,path2_theory,beta_theory,beta_sig,path1_sig,path2_sig
mediated,pat_invent_apply,cur,count,raw,raw,denom_ge2,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,299,4521.4409,2456.7263,.069366917,-.1109505870279387,.063794352,.085800074,-1069.758494414408,2132.7559,.61732006,4402.750472523398,2436.5442,.074480988,118.6903329333991,.25044093,0,0,1,0,0,*,*,
moderator,pat_invent_apply,cur,count,raw,raw,denom_ge2,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,299,4521.4409,2456.7263,.069366917,.0191694444417554,.025254043,.45001736,2995.034900668944,3701.0793,.42075199,4308.087154161551,2433.457,.080430314,213.353651295246,.25238979,0,0,0,0,0,*,,
mediated,pat_invent_apply,cur,count,raw,raw,denom_ge3,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,250,5760.293,2897.3906,.050769914,-.0380235436297039,.088659428,.66935241,167.8194349632688,3119.1362,.95724744,5766.674216514192,2886.2163,.049659312,-6.381089607235481,.30586252,0,0,0,0,0,*,,
moderator,pat_invent_apply,cur,count,raw,raw,denom_ge3,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,250,5760.293,2897.3906,.050769914,.0306542553165394,.024959154,.22355355,-9076.253771747011,6607.4668,.17400132,6102.770122443232,2833.3423,.034742519,-342.4769955362754,.31296742,0,0,0,0,0,*,,
mediated,pat_invent_apply,cur,count,raw,raw,interior,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,223,5623.5352,2803.3677,.049155273,-.0916345174398389,.06689997,.17563543,-1396.402608196078,4295.1626,.74617463,5495.57671874245,2805.9971,.054600619,127.9586791537695,.31136912,0,0,0,0,0,**,,
moderator,pat_invent_apply,cur,count,raw,raw,interior,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,223,5623.5352,2803.3677,.049155273,.0040391239588007,.019838339,.83932084,-16593.05509596828,9227.8701,.076945335,6404.562342288937,2897.9316,.03074288,-781.0269443927173,.32889265,0,0,0,0,0,**,,*
mediated,pat_invent_apply,cur,count,raw,raw,interior_debt_trim,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,182,10875.409,5458.4751,.050961532,-.1734372107410635,.081380628,.037250619,-1531.151634642754,5379.917,.77694333,10609.85094644198,5322.48,.050847437,265.5586687340692,.32918245,0,0,1,0,0,*,**,
moderator,pat_invent_apply,cur,count,raw,raw,interior_debt_trim,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,182,10875.409,5458.4751,.050961532,.0325008793627482,.064039715,.61368805,-35873.27936782,15830.8,.027131658,14209.04899695152,5460.0688,.011689413,-3333.639381775471,.38314244,0,0,0,0,0,*,,**
mediated,pat_invent_apply,cur,count,raw,raw,denom_ge2_debt_trim,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,242,6608.5933,3655.2747,.074568897,-.1399373910499374,.07801044,.07681793,-782.9399912633164,2592.053,.76343596,6499.030874258408,3579.4763,.073370375,109.56257972605,.24290629,0,0,1,0,0,*,*,
moderator,pat_invent_apply,cur,count,raw,raw,denom_ge2_debt_trim,pat_invent_apply,z_debt_pressure_l1,early_inv_count_share,242,6608.5933,3655.2747,.074568897,.0318380270332997,.045499776,.48622581,3297.960032139676,5307.8696,.53623915,6565.746990615699,3570.4126,.069831312,42.84646336875903,.2449567,0,0,0,0,0,*,,
