model,ybase,lag,ytransform,dtransform,mtransform,sample_rule,yvar,dvar,mvar,N,beta_b,beta_se,beta_p,path1_b,path1_se,path1_p,path2_b,path2_se,path2_p,direct_b,direct_se,direct_p,attenuation,r2w,theory10,theory05,path1_theory,path2_theory,beta_theory,beta_sig,path1_sig,path2_sig
mediated,pat_apply_total,F2,logy,raw,winsor,denom_ge2,ln_F2_pat_apply_total,z_debt_pressure_l1,w_early_inv_count_share,266,-.08457835,.040753819,.041578371,-.1428949145136627,.064891085,.030909652,.091665544531697,.04498468,.045306835,-.0714798121291521,.042473927,.096785247,.013098540149705,.679878,1,1,1,1,1,**,**,**
mediated,pat_apply_total,F2,logy,raw,raw,denom_ge2,ln_F2_pat_apply_total,z_debt_pressure_l1,early_inv_count_share,266,-.08457835,.040753819,.041578371,-.1428949145136627,.064891085,.030909652,.091665544531697,.04498468,.045306835,-.0714798121291521,.042473927,.096785247,.013098540149705,.679878,1,1,1,1,1,**,**,**
mediated,pat_apply_total,F2,logy,winsor,winsor,denom_ge2,ln_F2_pat_apply_total,z_w_debt_pressure_l1,w_early_inv_count_share,266,-.07525079,.036229704,.041416537,-.127677726705797,.05733506,.029128727,.0914837795915205,.045247525,.046961352,-.0635703513435328,.037427835,.093796194,.0116804410086995,.68025756,1,1,1,1,1,**,**,**
mediated,pat_apply_total,F2,logy,winsor,raw,denom_ge2,ln_F2_pat_apply_total,z_w_debt_pressure_l1,early_inv_count_share,266,-.07525079,.036229704,.041416537,-.127677726705797,.05733506,.029128727,.0914837795915205,.045247525,.046961352,-.0635703513435328,.037427835,.093796194,.0116804410086995,.68025756,1,1,1,1,1,**,**,**
mediated,pat_apply_total,F2,logy,raw,asin_w,denom_ge2,ln_F2_pat_apply_total,z_debt_pressure_l1,asin_w_early_inv_count_share,266,-.08457835,.040753819,.041578371,-.16527228040599,.086725384,.060738668,.0557948798998385,.030426491,.070880689,-.0753570052428326,.042145453,.078039214,.0092213470360245,.67789316,1,0,1,1,1,**,*,*
mediated,pat_apply_total,F2,logy,raw,asin,denom_ge2,ln_F2_pat_apply_total,z_debt_pressure_l1,asin_early_inv_count_share,266,-.08457835,.040753819,.041578371,-.16527228040599,.086725384,.060738668,.0557948798998385,.030426491,.070880689,-.0753570052428326,.042145453,.078039214,.0092213470360245,.67789316,1,0,1,1,1,**,*,*
mediated,pat_apply_total,F2,logy,winsor,asin_w,denom_ge2,ln_F2_pat_apply_total,z_w_debt_pressure_l1,asin_w_early_inv_count_share,266,-.07525079,.036229704,.041416537,-.1466412174715019,.076250561,.058472112,.0556278919703274,.030621264,.073492631,-.0670934505483303,.037191112,.075470053,.008157341803902,.67826509,1,0,1,1,1,**,*,*
mediated,pat_apply_total,F2,logy,winsor,asin,denom_ge2,ln_F2_pat_apply_total,z_w_debt_pressure_l1,asin_early_inv_count_share,266,-.07525079,.036229704,.041416537,-.1466412174715019,.076250561,.058472112,.0556278919703274,.030621264,.073492631,-.0670934505483303,.037191112,.075470053,.008157341803902,.67826509,1,0,1,1,1,**,*,*
mediated,pat_apply_total,F3,logy,raw,asin_w,denom_ge2,ln_F3_pat_apply_total,z_debt_pressure_l1,asin_w_early_inv_count_share,262,-.13841781,.048948437,.0061068116,-.1673242791053963,.086304359,.056561764,.0438225064130228,.024058925,.072808921,-.131085241490891,.049415626,.0098718582,.0073325692941502,.9189961,1,0,1,1,1,***,*,*
mediated,pat_apply_total,F3,logy,raw,asin,denom_ge2,ln_F3_pat_apply_total,z_debt_pressure_l1,asin_early_inv_count_share,262,-.13841781,.048948437,.0061068116,-.1673242791053963,.086304359,.056561764,.0438225064130228,.024058925,.072808921,-.131085241490891,.049415626,.0098718582,.0073325692941502,.9189961,1,0,1,1,1,***,*,*
mediated,pat_apply_total,F3,logy,winsor,asin,denom_ge2,ln_F3_pat_apply_total,z_w_debt_pressure_l1,asin_early_inv_count_share,262,-.1202321,.043657579,.0074956664,-.1486607162743692,.075882368,.054085713,.0436619644265236,.024145324,.074855216,-.1137412807465222,.04401483,.01184979,.006490818905593,.91935408,1,0,1,1,1,***,*,*
mediated,pat_apply_total,F3,logy,winsor,asin_w,denom_ge2,ln_F3_pat_apply_total,z_w_debt_pressure_l1,asin_w_early_inv_count_share,262,-.1202321,.043657579,.0074956664,-.1486607162743692,.075882368,.054085713,.0436619644265236,.024145324,.074855216,-.1137412807465222,.04401483,.01184979,.006490818905593,.91935408,1,0,1,1,1,***,*,*
mediated,pat_grant_total,F2,logy,raw,asin,denom_ge2,ln_F2_pat_grant_total,z_debt_pressure_l1,asin_early_inv_count_share,266,-.072985761,.03600743,.046422243,-.16527228040599,.086725384,.060738668,.0594605130357806,.031447854,.062736392,-.0631585887650278,.035974417,.083460666,.0098271745835343,.87198973,1,0,1,1,1,**,*,*
mediated,pat_grant_total,F2,logy,raw,asin_w,denom_ge2,ln_F2_pat_grant_total,z_debt_pressure_l1,asin_w_early_inv_count_share,266,-.072985761,.03600743,.046422243,-.16527228040599,.086725384,.060738668,.0594605130357806,.031447854,.062736392,-.0631585887650278,.035974417,.083460666,.0098271745835343,.87198973,1,0,1,1,1,**,*,*
mediated,pat_grant_total,F2,logy,winsor,asin,denom_ge2,ln_F2_pat_grant_total,z_w_debt_pressure_l1,asin_early_inv_count_share,266,-.060034622,.031870581,.063700847,-.1466412174715019,.076250561,.058472112,.0589519887798967,.031866893,.068482973,-.0513898286460086,.031685766,.10926638,.0086447914070508,.87378073,1,0,1,1,1,*,*,*
mediated,pat_grant_total,F2,logy,winsor,asin_w,denom_ge2,ln_F2_pat_grant_total,z_w_debt_pressure_l1,asin_w_early_inv_count_share,266,-.060034622,.031870581,.063700847,-.1466412174715019,.076250561,.058472112,.0589519887798967,.031866893,.068482973,-.0513898286460086,.031685766,.10926638,.0086447914070508,.87378073,1,0,1,1,1,*,*,*
mediated,pat_grant_total,F2,logy,raw,winsor,denom_ge2,ln_F2_pat_grant_total,z_debt_pressure_l1,w_early_inv_count_share,266,-.072985761,.03600743,.046422243,-.1428949145136627,.064891085,.030909652,.083371572012309,.049916264,.09927734,-.0610723896929934,.036125824,.095309481,.0119133736555687,.87175488,1,0,1,1,1,**,**,*
mediated,pat_grant_total,F2,logy,raw,raw,denom_ge2,ln_F2_pat_grant_total,z_debt_pressure_l1,early_inv_count_share,266,-.072985761,.03600743,.046422243,-.1428949145136627,.064891085,.030909652,.083371572012309,.049916264,.09927734,-.0610723896929934,.036125824,.095309481,.0119133736555687,.87175488,1,0,1,1,1,**,**,*
mediated,pat_utility_apply,F2,logy,raw,asin_w,denom_ge2,ln_F2_pat_utility_apply,z_debt_pressure_l1,asin_w_early_inv_count_share,266,-.1511573,.052401535,.0051853312,-.16527228040599,.086725384,.060738668,.0628318812345454,.033712819,.066493578,-.1407729290305877,.052051462,.0085565634,.0103843682938316,.81512064,1,0,1,1,1,***,*,*
mediated,pat_utility_apply,F2,logy,raw,asin,denom_ge2,ln_F2_pat_utility_apply,z_debt_pressure_l1,asin_early_inv_count_share,266,-.1511573,.052401535,.0051853312,-.16527228040599,.086725384,.060738668,.0628318812345454,.033712819,.066493578,-.1407729290305877,.052051462,.0085565634,.0103843682938316,.81512064,1,0,1,1,1,***,*,*
mediated,pat_utility_apply,F2,logy,winsor,asin,denom_ge2,ln_F2_pat_utility_apply,z_w_debt_pressure_l1,asin_early_inv_count_share,266,-.13752468,.048451163,.0059074359,-.1466412174715019,.076250561,.058472112,.0620952969687804,.034123678,.07301832,-.1284189457167549,.048109576,.0094135543,.0091057299467566,.81465858,1,0,1,1,1,***,*,*
mediated,pat_utility_apply,F2,logy,winsor,asin_w,denom_ge2,ln_F2_pat_utility_apply,z_w_debt_pressure_l1,asin_w_early_inv_count_share,266,-.13752468,.048451163,.0059074359,-.1466412174715019,.076250561,.058472112,.0620952969687804,.034123678,.07301832,-.1284189457167549,.048109576,.0094135543,.0091057299467566,.81465858,1,0,1,1,1,***,*,*
