yvar,xvar,spec,b,se,t,p,N,r2w
ln_pat_apply_total,fund_est_count,ctrl,.0022239245629214,.0016118772,1.3797109,.16929719,1149,.70478618
ln_pat_apply_total,fund_est_count,noctrl,.0007113081884785,.0013350629,.53279001,.59462374,2670,.70200312
ln_pat_apply_total,fund_est_count_cum,ctrl,.0001020410744705,.00051442167,.19836076,.8429749,1149,.7044065
ln_pat_apply_total,fund_est_count_cum,noctrl,-.00011970789751,.00030804606,-.3886039,.69788003,2670,.701998
ln_pat_apply_total,fund_est_scale,ctrl,7.84509879690e-08,1.2871975e-07,.60947126,.5429402,1139,.70302379
ln_pat_apply_total,fund_est_scale,noctrl,7.30710727523e-08,1.2436061e-07,.58757412,.55731666,2652,.70220172
ln_pat_apply_total,fund_est_scale_cum,ctrl,1.57085678177e-07,1.3304350e-07,1.1807091,.23922595,1083,.69843543
ln_pat_apply_total,fund_est_scale_cum,noctrl,7.82842629793e-08,9.6432196e-08,.81180632,.41764253,2529,.69913238
ln_pat_invent_apply,fund_est_count,ctrl,.0026364735322225,.0024621657,1.0707946,.28562015,1149,.32968462
ln_pat_invent_apply,fund_est_count,noctrl,.0013271204308041,.0017748574,.74773353,.45528141,2670,.21753375
ln_pat_invent_apply,fund_est_count_cum,ctrl,.0008321014323547,.00070999801,1.171977,.24267372,1149,.33035007
ln_pat_invent_apply,fund_est_count_cum,noctrl,.0007006459972397,.00053664303,1.3056091,.19281361,2670,.21842685
ln_pat_invent_apply,fund_est_scale,ctrl,6.68646525444e-08,2.4726330e-07,.27041882,.78713155,1139,.33235124
ln_pat_invent_apply,fund_est_scale,noctrl,-5.22490246424e-08,2.4605450e-07,-.21234736,.83199871,2652,.21796745
ln_pat_invent_apply,fund_est_scale_cum,ctrl,4.02127569331e-07,1.7189106e-07,2.3394327,.02037441,1083,.33942685
ln_pat_invent_apply,fund_est_scale_cum,noctrl,4.00543722099e-07,1.4385154e-07,2.7844243,.005754834,2529,.22101013
ln_pat_utility_apply,fund_est_count,ctrl,.0038098576803556,.0018815069,2.0248971,.044277433,1149,.81410927
ln_pat_utility_apply,fund_est_count,noctrl,.0012980646071208,.0013829193,.93864095,.34876662,2670,.81822962
ln_pat_utility_apply,fund_est_count_cum,ctrl,-.000635934570017,.00054561067,-1.1655464,.24525897,1149,.81388921
ln_pat_utility_apply,fund_est_count_cum,noctrl,-.0012767964599553,.00038525939,-3.3141215,.0010469968,2670,.81985921
ln_pat_utility_apply,fund_est_scale,ctrl,2.16106644222e-07,2.1045706e-07,1.0268444,.30579925,1139,.81205189
ln_pat_utility_apply,fund_est_scale,noctrl,2.95175912512e-07,1.8199701e-07,1.6218723,.10601535,2652,.81838673
ln_pat_utility_apply,fund_est_scale_cum,ctrl,2.56051948399e-09,1.0982521e-07,.023314497,.98142439,1083,.80924273
ln_pat_utility_apply,fund_est_scale_cum,noctrl,-2.91159713312e-07,1.0910329e-07,-2.6686611,.0080924332,2529,.81810039
pat_apply_total,fund_est_count,ctrl,849.5984447036021,267.97028,3.1704953,.0017742825,1149,.29636529
pat_apply_total,fund_est_count,noctrl,739.5500425996931,144.83984,5.1059852,6.2781339e-07,2670,.23185529
pat_apply_total,fund_est_count_cum,ctrl,296.770884298564,116.95064,2.5375738,.01196551,1149,.51327479
pat_apply_total,fund_est_count_cum,noctrl,161.7675031193903,47.046333,3.438472,.00067886949,2670,.26736191
pat_apply_total,fund_est_scale,ctrl,.002366238592785,.0095991241,.24650568,.80555695,1139,.1796073
pat_apply_total,fund_est_scale,noctrl,-.0069020191527139,.029540494,-.23364604,.81543952,2652,.14705193
pat_apply_total,fund_est_scale_cum,ctrl,.0800480595359581,.033369478,2.3988404,.017435078,1083,.49548385
pat_apply_total,fund_est_scale_cum,noctrl,.0612313092194781,.017360952,3.5269558,.00049646146,2529,.29006016
pat_invent_apply,fund_est_count,ctrl,297.191688232363,86.538315,3.4342208,.00072956044,1149,.20255178
pat_invent_apply,fund_est_count,noctrl,189.4392947071587,43.309982,4.3740335,.000017525239,2670,.12202715
pat_invent_apply,fund_est_count_cum,ctrl,106.7967931201223,30.85494,3.4612544,.00066401472,1149,.44904876
pat_invent_apply,fund_est_count_cum,noctrl,65.07949077638148,21.309345,3.0540352,.002486957,2670,.2821005
pat_invent_apply,fund_est_scale,ctrl,.0060460821436706,.004092956,1.477192,.14127976,1139,.085888207
pat_invent_apply,fund_est_scale,noctrl,.0006412428606564,.0098021738,.065418437,.94788998,2652,.058370739
pat_invent_apply,fund_est_scale_cum,ctrl,.0299604491501067,.0086053051,3.4816253,.00062107306,1083,.462484
pat_invent_apply,fund_est_scale_cum,noctrl,.0259119581592356,.0054413141,4.7620773,3.1805082e-06,2529,.36012343
pat_utility_apply,fund_est_count,ctrl,458.0811994394397,125.55367,3.648489,.00034069704,1149,.36726052
pat_utility_apply,fund_est_count,noctrl,465.480742410769,88.583549,5.2547083,3.0434231e-07,2670,.27564117
pat_utility_apply,fund_est_count_cum,ctrl,151.4863135505062,54.16996,2.7965004,.0056971544,1149,.51420391
pat_utility_apply,fund_est_count_cum,noctrl,75.86341199196062,14.001556,5.4182129,1.3485152e-07,2670,.25751248
pat_utility_apply,fund_est_scale,ctrl,.0003007400964724,.0049955258,.060201887,.95205814,1139,.27356046
pat_utility_apply,fund_est_scale,noctrl,.0006410456194968,.013386248,.047888372,.96184117,2652,.1889687
pat_utility_apply,fund_est_scale_cum,ctrl,.0405134852642179,.013534064,2.9934456,.0031333244,1083,.51635176
pat_utility_apply,fund_est_scale_cum,noctrl,.0280987962634937,.0064769173,4.3382978,.000020539386,2529,.26635852
