yvar,xvar,mvar,spec,bx,bm,bint,seint,pint,N,r2w
pat_apply_total,fund_est_count,debt_pressure,ctrl,901.8676545837295,3.9603786,.063621849,.35451883,.85777211,968,.36197159
pat_apply_total,fund_est_count,debt_pressure,noctrl,493.4448303263595,2.7460794,.4501076,.21293603,.035517685,1861,.27309456
pat_apply_total,fund_est_count,debt_pressure_l1,ctrl,928.6814589936871,4.2038145,-.0044799671,.3669683,.99027276,965,.31728005
pat_apply_total,fund_est_count,debt_pressure_l1,noctrl,592.0740471056184,3.0767386,.39850935,.19935568,.046701122,1855,.27916518
pat_apply_total,fund_est_count,fiscal_pressure,ctrl,-1475.655232543635,-9079.3203,2912.2275,2346.4082,.2160832,1149,.34108987
pat_apply_total,fund_est_count,fiscal_pressure,noctrl,-237.5785010416938,-7190.6958,1261.3157,1340.8362,.34779236,2450,.25108334
pat_apply_total,fund_est_count,fiscal_pressure_l1,ctrl,-792.766503885716,-12746.155,2079.813,2010.3934,.30220324,1149,.32093194
pat_apply_total,fund_est_count,fiscal_pressure_l1,noctrl,-52.33866215213781,-8135.2441,997.78815,1142.0654,.38315713,2450,.24829774
pat_apply_total,fund_est_scale_cum,debt_pressure,ctrl,.1391618313930224,9.9409485,-.000055563618,.000014088935,.00011434546,917,.70718628
pat_apply_total,fund_est_scale_cum,debt_pressure,noctrl,.1601001032426655,7.1474938,-.000059504411,.000010469235,3.7312827e-08,1763,.68892848
pat_apply_total,fund_est_scale_cum,debt_pressure_l1,ctrl,.1432562762781256,8.7352962,-.00006089154,.000016601583,.00032149575,914,.69250989
pat_apply_total,fund_est_scale_cum,debt_pressure_l1,noctrl,.1632258882191495,6.3754745,-.000064568703,.000011443328,4.6693160e-08,1758,.69351447
pat_apply_total,fund_est_scale_cum,fiscal_pressure,ctrl,-.1283135855741446,-9724.79,.29186654,.087734424,.0010589736,1083,.64818054
pat_apply_total,fund_est_scale_cum,fiscal_pressure,noctrl,-.0733042158899447,-9983.8789,.18329826,.083189398,.02852216,2318,.337479
pat_apply_total,fund_est_scale_cum,fiscal_pressure_l1,ctrl,-.1277227398579529,-16743.799,.29303005,.078625761,.00025706907,1083,.6470378
pat_apply_total,fund_est_scale_cum,fiscal_pressure_l1,noctrl,-.0910785832281173,-10207.377,.20944846,.067297563,.0020825274,2318,.35416627
pat_invent_apply,fund_est_count,debt_pressure,ctrl,289.6014886772105,2.1321685,.048489787,.12512004,.69879508,968,.28353405
pat_invent_apply,fund_est_count,debt_pressure,noctrl,106.8173490502056,1.6692572,.16379316,.08952035,.068484634,1861,.18307826
pat_invent_apply,fund_est_count,debt_pressure_l1,ctrl,299.9390751384941,1.9119834,.028169598,.12672271,.82433087,965,.24785562
pat_invent_apply,fund_est_count,debt_pressure_l1,noctrl,106.2024648098892,1.4605119,.17120121,.089098871,.055818018,1855,.1781151
pat_invent_apply,fund_est_count,fiscal_pressure,ctrl,-251.5398189147213,-2641.4199,687.18506,761.62695,.36806148,1149,.22368801
pat_invent_apply,fund_est_count,fiscal_pressure,noctrl,-36.47461557042101,-1734.8678,290.74902,356.79449,.41592872,2450,.13141645
pat_invent_apply,fund_est_count,fiscal_pressure_l1,ctrl,-77.583559552753,-4737.3862,474.11014,691.3454,.4936884,1149,.21554619
pat_invent_apply,fund_est_count,fiscal_pressure_l1,noctrl,62.75994494005094,-3259.4595,157.19133,373.77512,.67445344,2450,.12932873
pat_invent_apply,fund_est_scale_cum,debt_pressure,ctrl,.0448549262170323,2.8928487,-.000014487344,3.4470474e-06,.000041262596,917,.58635092
pat_invent_apply,fund_est_scale_cum,debt_pressure,noctrl,.0477471690899404,1.8827151,-.000013763188,3.1969410e-06,.00002415185,1763,.58408862
pat_invent_apply,fund_est_scale_cum,debt_pressure_l1,ctrl,.0458629822040916,2.4039202,-.000016168487,4.4326489e-06,.00034598654,914,.57047749
pat_invent_apply,fund_est_scale_cum,debt_pressure_l1,noctrl,.0478572154864865,1.5929977,-.00001483998,3.4121820e-06,.000020154188,1758,.57887447
