spec,path,xform,xvar,dform,dvar,mtransform,meaning,mvar,yform,yrole,yvar,a_xd,se_a,p_a,beta_xd,se_beta,p_beta,c_xd,se_cxd,p_cxd,c_m,se_m,p_m,attenuation,N,r2_m,r2_base,r2_y,first_neg10,first_neg05,m_pos10,m_pos05,m_pos01,chain10,chain05
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,count,invent,pat_invent_apply,-3.52192454140e-08,2.9073437e-08,.22729139,-.0068074500847338,.0020671226,.0011867386,-.0068029317652232,.0020797139,.0012779606,128.2912071947652,1449.9104,.92958915,.0006637315668005,944,.60251683,.68032646,.68033916,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,count,utility,pat_utility_apply,-3.52192454140e-08,2.9073437e-08,.22729139,-.0078058889829428,.0048887706,.11203983,-.0077244198370707,.0048531778,.11317715,2313.199641684391,1642.837,.16079395,.0104368824678645,944,.60251683,.55534858,.55769259,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,count,total,pat_apply_total,-3.52192454140e-08,2.9073437e-08,.22729139,-.0226924988163223,.0080336053,.0052517788,-.0225465869182215,.0079577519,.0051184958,4142.959236785657,3323.2617,.21410033,.006429961692707,944,.60251683,.66401464,.6662069,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,logy,invent,lny_invent,-3.52192454140e-08,2.9073437e-08,.22729139,8.70128205818e-08,8.3583309e-08,.29921973,9.41455430746e-08,8.4007439e-08,.26387635,.2025234331114547,.12653862,.11119684,-.0819732361870346,944,.60251683,.41087061,.41462678,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,logy,utility,lny_utility,-3.52192454140e-08,2.9073437e-08,.22729139,1.70638668912e-08,6.9907870e-08,.80743098,2.02537999306e-08,7.0560624e-08,.77440208,.0905735770845706,.081532799,.26805946,-.1869408065421171,944,.60251683,.79001749,.79059446,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,logy,total,lny_total,-3.52192454140e-08,2.9073437e-08,.22729139,-2.13601435227e-09,6.5798623e-08,.9741379,3.51428394094e-09,6.6823134e-08,.95811468,.1604321224598674,.088388301,.071130618,-.6452529624640627,944,.60251683,.69871151,.701765,0,0,1,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,wcount,invent,w_pat_invent_apply,-3.52192454140e-08,2.9073437e-08,.22729139,.002082471424315,.0025345767,.41234797,.0020498811242004,.0025511796,.4227151,-925.3548658275553,970.20654,.3414441,.0156498186405533,944,.60251683,.26095113,.2628662,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,wcount,utility,w_pat_utility_apply,-3.52192454140e-08,2.9073437e-08,.22729139,.0003033865190289,.0026483268,.90891987,.0002968570099659,.002657373,.91117388,-185.3960522502632,1209.4537,.87833738,.0215220804269698,944,.60251683,.52122152,.52124715,0,0,0,0,0,0,0
ctrl,fd2_level_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_level,same_direction,fin_dev_2,wcount,total,w_pat_apply_total,-3.52192454140e-08,2.9073437e-08,.22729139,-.0008772470268907,.0054944605,.8733229,-.0008825128667011,.0055256067,.87328118,-149.5159748188587,1931.2533,.9383738,-.0060026875544167,944,.60251683,.43193671,.43194368,0,0,0,0,0,0,0
ctrl,fd2_log_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_log,same_direction,ln_fin_dev_2,count,invent,pat_invent_apply,-2.28274893440e-08,9.5849657e-09,.018252691,-.0068074500847338,.0020671226,.0011867386,-.0068390758287352,.0020890923,.0012668349,-1385.423667261127,3575.2017,.6988247,-.0046457548138762,944,.6754936,.68032646,.68049133,1,1,0,0,0,0,0
