spec,path,xform,xvar,dform,dvar,mtransform,meaning,mvar,yform,yrole,yvar,a_xd,se_a,p_a,beta_xd,se_beta,p_beta,c_xd,se_cxd,p_cxd,c_m,se_m,p_m,attenuation,N,r2_m,r2_base,r2_y,first_neg10,first_neg05,m_pos10,m_pos05,m_pos01,chain10,chain05
ctrl,fd1_dlog_logfund,logfund,ln_fund,ln_debt_l1,ln_debt_pressure_l1,fd1_dlog,change,d_ln_fin_dev_1,count,utility,pat_utility_apply,-.0010323597800309,.00044966812,.022832118,346.4809564800395,86.077133,.000083585779,357.8230972523754,86.966438,.000058852671,10986.61628603606,5131.0005,.033593666,-.0327352501204184,782,.20069142,.30584621,.31113091,1,1,1,1,0,1,1
ctrl,fd1_dlog_logfund,logfund,ln_fund,ln_debt_l1,ln_debt_pressure_l1,fd1_dlog,change,d_ln_fin_dev_1,wcount,total,w_pat_apply_total,-.0010323597800309,.00044966812,.022832118,426.7224406829376,132.08716,.0014673432,435.2205525156338,132.534,.0012292612,8231.734708264275,4338.7441,.059385583,-.0199148463321864,782,.20069142,.31208473,.31455064,1,1,1,0,0,1,0
ctrl,fd1_dlog_logfund,logfund,ln_fund,ln_debt_l1,ln_debt_pressure_l1,fd1_dlog,change,d_ln_fin_dev_1,wcount,utility,w_pat_utility_apply,-.0010323597800309,.00044966812,.022832118,310.6960409380941,84.493538,.00031074381,317.7874495011477,85.227951,.00025729503,6869.125183123158,3194.4895,.032857887,-.0228242643248438,782,.20069142,.4166275,.42029661,1,1,1,1,0,1,1
ctrl,fd2_dlog_wzraw,wz_rawfund,z_w_fund_est_scale_cum,debt,debt_pressure,fd2_dlog,change,d_ln_fin_dev_2,count,total,pat_apply_total,-5.77135952491e-06,2.2362397e-06,.010643942,-6.244258041226891,1.8915545,.0011588986,-6.175720192638158,1.8710103,.0011603968,11875.51187772372,6385.9858,.064553149,.0109761397008613,784,.20729323,.5642454,.56633216,1,1,1,0,0,1,0
ctrl,fd2_dlog_wzraw,wz_rawfund,z_w_fund_est_scale_cum,debt,debt_pressure,fd2_dlog,change,d_ln_fin_dev_2,count,utility,pat_utility_apply,-5.77135952491e-06,2.2362397e-06,.010643942,-3.51669339973498,.86634284,.00007302763,-3.477868069094272,.85223567,.00006707108,6727.241731017395,3792.5496,.077767633,.0110402944549086,784,.20729323,.59486693,.59706688,1,1,1,0,0,1,0
ctrl,fd2_asinh_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_asinh,same_direction,asinh_fin_dev_2,logy,invent,lny_invent,-3.28795816914e-08,1.3351454e-08,.01470758,8.70128205818e-08,8.3583309e-08,.29921973,1.06926948142e-07,8.4911420e-08,.20951703,.6056685193533961,.31994745,.0599158,-.2288642918002398,944,.68186265,.41087061,.41774258,1,1,1,0,0,1,0
ctrl,fd2_asinh_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_asinh,same_direction,asinh_fin_dev_2,logy,total,lny_total,-3.28795816914e-08,1.3351454e-08,.01470758,-2.13601435227e-09,6.5798623e-08,.9741379,1.11456865378e-08,6.8679334e-08,.87125784,.4039498134366048,.20449372,.049713906,-4.217982981242455,944,.68186265,.69871151,.70267135,1,1,1,1,0,1,1
ctrl,fd2_asinh_logfund,logfund,ln_fund,ln_debt_l1,ln_debt_pressure_l1,fd2_asinh,same_direction,asinh_fin_dev_2,logy,total,lny_total,-.0018151889090953,.00086516188,.037255049,-.0069441343647075,.0032020784,.031386845,-.0063246843350531,.0032340446,.052011471,.3412592631822299,.19744185,.085584313,.0892047873962053,944,.67782086,.70319057,.7060526,1,1,1,0,0,1,0
ctrl,fd2_log_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_log,same_direction,ln_fin_dev_2,logy,invent,lny_invent,-2.28274893440e-08,9.5849657e-09,.018252691,8.70128205818e-08,8.3583309e-08,.29921973,1.05187865273e-07,8.4800568e-08,.21639293,.7961911368178676,.42831481,.064630687,-.2088777788147496,944,.6754936,.41087061,.41731942,1,1,1,0,0,1,0
ctrl,fd2_log_raw,rawfund,fund_est_scale_cum,ln_debt_l1,ln_debt_pressure_l1,fd2_log,same_direction,ln_fin_dev_2,logy,total,lny_total,-2.28274893440e-08,9.5849657e-09,.018252691,-2.13601435227e-09,6.5798623e-08,.9741379,1.01962197458e-08,6.8463748e-08,.8817721,.5402361123564783,.27666739,.0523692,-3.773479042857065,944,.6754936,.69871151,.70255762,1,1,1,0,0,1,0
