scheme,sample,spec,xvar,dvar,mvar,yvar,b_base_xn,se_base_xn,p_base_xn,N_base,r2w_base,b_mech,se_mech,p_mech,N_mech,r2w_mech,b_y_key,se_y_key,p_y_key,b_y_m,se_y_m,p_y_m,b_y_xn,se_y_xn,p_y_xn,N_y,r2w_y,base_ok10,base_ok05,mech_ok10,mech_ok05,ykey_ok10,ykey_ok05,theory_ok10,theory_ok05,attenuated,strict_ok10,strict_ok05,sig_base_xn,sig_mech,sig_y_key,sig_y_m,sig_y_xn
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1,D1_soccap_leverage_zero_w,ln_pat_utility_apply,-4.02770417728e-08,1.0221842e-08,.00012020382,705,.75924724,-8.95405061335e-08,4.4716231e-08,.046887979,705,.018310243,6.31064738238e-07,2.9070247e-07,.031381991,-.0141245009168439,.015814582,.37309545,-3.67772145856e-08,9.6632231e-09,.00019920686,705,.7604804,1,1,1,1,1,1,1,1,1,1,1,***,**,**,,***
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1_w,D1_soccap_leverage_zero_w,ln_pat_utility_apply,-4.02773698957e-08,1.0222301e-08,.00012027016,705,.75924605,-8.95337871949e-08,4.4716987e-08,.046907969,705,.01830928,6.31075326442e-07,2.9069798e-07,.031376619,-.0141241392460707,.015814554,.37310684,-3.67774025960e-08,9.6636015e-09,.00019930274,705,.76047921,1,1,1,1,1,1,1,1,1,1,1,***,**,**,,***
scheme2_extended,low_fin,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_govp5_w,ln_pat_utility_apply,-4.28116400342e-08,1.4173772e-08,.0031760558,243,.78412336,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,1.27964661246e-06,7.4710215e-07,.089726694,-.0208114068801661,.01701222,.22397308,-4.16239747719e-08,1.4220941e-08,.0042047473,243,.78691089,1,1,1,0,1,0,1,0,1,1,0,***,*,*,,***
scheme2_extended,low_fin,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_govp5_w,ln_pat_utility_apply,-4.28116400342e-08,1.4173772e-08,.0031760558,243,.78412336,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,1.27964661246e-06,7.4710215e-07,.089726694,-.0208114068801661,.01701222,.22397308,-4.16239747719e-08,1.4220941e-08,.0042047473,243,.78691089,1,1,1,0,1,0,1,0,1,1,0,***,*,*,,***
scheme2_extended,low_fin_through2023,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_govp5_w,ln_pat_utility_apply,-4.28116400342e-08,1.4173772e-08,.0031760558,243,.78412336,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,1.27964661246e-06,7.4710215e-07,.089726694,-.0208114068801661,.01701222,.22397308,-4.16239747719e-08,1.4220941e-08,.0042047473,243,.78691089,1,1,1,0,1,0,1,0,1,1,0,***,*,*,,***
scheme2_extended,low_fin_through2023,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_govp5_w,ln_pat_utility_apply,-4.28116400342e-08,1.4173772e-08,.0031760558,243,.78412336,-7.88574430974e-08,4.3875104e-08,.075187571,243,.042148989,1.27964661246e-06,7.4710215e-07,.089726694,-.0208114068801661,.01701222,.22397308,-4.16239747719e-08,1.4220941e-08,.0042047473,243,.78691089,1,1,1,0,1,0,1,0,1,1,0,***,*,*,,***
scheme2_extended,low_fin_active_cum,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_govp5_w,ln_pat_utility_apply,-4.28116400342e-08,1.4177643e-08,.0031976092,241,.78412336,-7.88574430974e-08,4.3887084e-08,.075322941,241,.042148989,1.27964661246e-06,7.4733441e-07,.089883499,-.0208114068801661,.01701751,.22417009,-4.16239747719e-08,1.4225361e-08,.0042322725,241,.78691089,1,1,1,0,1,0,1,0,1,1,0,***,*,*,,***
scheme2_extended,low_fin_active_cum,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_govp5_w,ln_pat_utility_apply,-4.28116400342e-08,1.4177643e-08,.0031976092,241,.78412336,-7.88574430974e-08,4.3887084e-08,.075322941,241,.042148989,1.27964661246e-06,7.4733441e-07,.089883499,-.0208114068801661,.01701751,.22417009,-4.16239747719e-08,1.4225361e-08,.0042322725,241,.78691089,1,1,1,0,1,0,1,0,1,1,0,***,*,*,,***
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1,soccap_leverage_w,ln_pat_utility_apply,-4.99128803798e-08,1.6624654e-08,.0033622445,229,.75706613,-1.21486636378e-07,6.8879473e-08,.080738083,229,.070511185,8.04855476411e-07,3.4635556e-07,.022101175,-.0040054482053478,.0087330844,.64745027,-4.47926423764e-08,1.6112924e-08,.0064649568,229,.76264268,1,1,1,0,1,1,1,0,1,1,0,***,*,**,,***
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1_w,soccap_leverage_w,ln_pat_utility_apply,-4.99128803798e-08,1.6624654e-08,.0033622445,229,.75706613,-1.21486636378e-07,6.8879473e-08,.080738083,229,.070511185,8.04855476411e-07,3.4635556e-07,.022101175,-.0040054482053478,.0087330844,.64745027,-4.47926423764e-08,1.6112924e-08,.0064649568,229,.76264268,1,1,1,0,1,1,1,0,1,1,0,***,*,**,,***
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_roll5,debt_burden_l1,soccap_leverage_w,ln_pat_utility_apply,-6.40998308538e-07,2.4016950e-07,.0088415099,227,.76177692,-1.38134511141e-06,8.1399361e-07,.092717066,227,.058814425,6.59171343890e-07,2.9701431e-07,.028657744,.0006332325464403,.0076003815,.93376207,-5.74891964851e-07,2.4295946e-07,.019841716,227,.76611257,1,1,1,0,1,1,1,0,1,1,0,***,*,**,,**
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_roll5,debt_burden_l1_w,soccap_leverage_w,ln_pat_utility_apply,-6.40998308538e-07,2.4016950e-07,.0088415099,227,.76177692,-1.38134511141e-06,8.1399361e-07,.092717066,227,.058814425,6.59171343890e-07,2.9701431e-07,.028657744,.0006332325464403,.0076003815,.93376207,-5.74891964851e-07,2.4295946e-07,.019841716,227,.76611257,1,1,1,0,1,1,1,0,1,1,0,***,*,**,,**
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1,D1_soccap_leverage_zero_w,F1_pat_apply_total,-.0008199316151813,.00031697564,.01055704,705,.34404758,-8.95405061335e-08,4.4716231e-08,.046887979,705,.018310243,.0241798528372137,.011770791,.041541018,-268.0217134168062,161.18813,.098264821,-.0006613723968371,.00023279121,.0050670411,705,.39577129,1,1,1,1,1,1,1,1,1,1,1,**,**,**,*,***
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1_w,D1_soccap_leverage_zero_w,F1_pat_apply_total,-.0008198966869718,.0003169752,.010560178,705,.34404486,-8.95337871949e-08,4.4716987e-08,.046907969,705,.01830928,.0241800912496648,.011770817,.041539457,-268.0211876926801,161.18871,.098266669,-.0006613363921606,.00023279009,.0050691753,705,.39576977,1,1,1,1,1,1,1,1,1,1,1,**,**,**,*,***
scheme2_extended,low_fin,noctrl,fund_est_scale_roll5,debt_burden_l1,soccap_leverage_w,ln_pat_utility_apply,-5.89441324156e-07,2.2914747e-07,.011473046,259,.78958511,-1.58820968553e-06,9.4439361e-07,.095538795,259,.043618124,5.34143588610e-07,3.1195663e-07,.089749783,-.0054048440222869,.0066248989,.41640529,-5.59948431225e-07,2.3842460e-07,.02068436,259,.79136944,1,1,1,0,1,0,1,0,1,1,0,**,*,*,,**
