city,year,fund_est_count,fund_est_scale,fund_est_count_cum,fund_est_scale_cum,fund_est_count_roll5,fund_est_scale_roll5,fund_inv_amt,fund_inv_count,early_inv_amt,early_inv_count,early_inv_amt_share,early_inv_count_share,pat_invent_apply,pat_utility_apply,pat_design_apply,pat_invent_grant,pat_utility_grant,pat_design_grant,pat_apply_total,pat_grant_total,ln_pat_invent_apply,ln_pat_utility_apply,ln_pat_design_apply,ln_pat_invent_grant,ln_pat_utility_grant,ln_pat_design_grant,ln_pat_apply_total,ln_pat_grant_total,fiscal_pressure,fiscal_pressure_l1,lg_debt,lgfv_debt,bond_total,gdp_debt_src,fiscal_revenue,fiscal_expenditure,debt_burden,debt_pressure,fiscal_selfsuff,debt_burden_l1,debt_pressure_l1,fiscal_selfsuff_l1,soccap_fund_count,soccap_amt,gov_amt,gp_amt,unknown_amt,fund_commit_total,matched_commit_amt,soccap_share_total,gov_share_total,soccap_leverage,matched_share_total,fiscal_transparency,fcity_sa_mean,fcity_sa_firms,fcity_sa_median,fcity_sa_rawmean,fcity_fc_mean,fcity_fc_firms,fcity_fc_median,fcity_kz_mean,fcity_kz_firms,fcity_kz_median,fcity_ww_mean,fcity_ww_firms,fcity_ww_median,loan_balance_yearend,deposit_balance_yearend,gdp_finance_src,fin_dev_1,fin_dev_2,fin_dev,marketization,registered_firm_count,entrepreneurship_population_10k,registered_firm_count_filled,entrepreneurship_population_10k_filled,entrepreneurship_activity,gdp,fiscal_scitech,population_resident,secondary_industry,fdi_actual,发明申请量_滞后一期,实用新型申请量_滞后一期,外观设计申请量_滞后一期,发明获得量_滞后一期,实用新型获得量_滞后一期,外观设计获得量_滞后一期,专利申请总量_滞后一期,专利获得总量_滞后一期,发明申请量_对数_滞后一期,实用新型申请量_对数_滞后一期,外观设计申请量_对数_滞后一期,发明获得量_对数_滞后一期,实用新型获得量_对数_滞后一期,外观设计获得量_对数_滞后一期,专利申请总量_对数_滞后一期,专利获得总量_对数_滞后一期
三亚市,2015,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,49.0,52.0,21.0,6.0,36.0,147.0,122.0,189.0,3.912023005428146,3.970291913552122,3.091042453358316,1.9459101490553128,3.610917912644224,4.997212273764115,4.812184355372417,5.247024072160486,0.751526840787652,0.74163063607738,,,,,,,,,,,,,,,,,,,,,,,,60.793651,3.5225485,2.0,3.5225485,-3.5225485,0.340818375,2.0,0.3340065,3.73125475,2.0,3.736517,-0.8977809999999999,2.0,-0.8977809999999999,8711858.0,12094229.0,4358202.0,1.99895690929425,2.77505012388136,4.77400703317561,3.7289339921329456,11043.0,86.93,11043.0,86.93,127.0332451,44.11933,371.64,86.93,8.78772,14981.0,,,,,,,,,,,,,,,,
三亚市,2016,1,40000.0,1,40000.0,1,40000.0,,1.0,,1.0,,1.0,50.0,101.0,26.0,9.0,67.0,12.0,177.0,88.0,3.9318256327243257,4.624972813284271,3.295836866004329,2.302585092994046,4.219507705176107,2.5649493574615367,5.181783550292085,4.48863636973214,0.712251781480239,0.751526840787652,,,,,,,,,,,,,,,,,,,,,,,,68.15,3.655388,3.0,3.714287,-3.655388,0.3482383333333333,3.0,0.432125,3.7517036666666654,3.0,3.3626375,-0.8882600000000002,3.0,-0.902817,10791746.0,14815246.0,4755567.0,2.26928692204315,3.11534797007381,5.38463489211697,3.920463526766333,13543.0,89.89,13543.0,89.89,150.6619201,49.30618,416.67,89.89,9.5037,20823.0,49.0,52.0,21.0,6.0,36.0,147.0,122.0,189.0,3.912023005428146,3.970291913552122,3.091042453358316,1.9459101490553128,3.610917912644224,4.997212273764115,4.812184355372417,5.247024072160486
三亚市,2017,0,0.0,1,40000.0,1,40000.0,0.0,0.0,0.0,0.0,,,92.0,145.0,29.0,4.0,102.0,27.0,266.0,133.0,4.532599493153256,4.983606621708336,3.4011973816621555,1.6094379124341005,4.634728988229636,3.332204510175204,5.58724865840025,4.897839799950911,0.714974942547831,0.712251781480239,,,,,,,,,,,,,,,,,,,,,,,,51.42,3.6740886666666666,3.0,3.757823,-3.6740886666666666,0.3584355,3.0,0.411256,3.6305941000000006,3.0,3.384849,-0.917205,3.0,-0.946095,12711734.0,16766621.0,5298048.0,2.39932405293421,3.16467895345607,5.56400300639028,4.2000827557352185,24963.0,93.18,24963.0,93.18,267.9008371,54.60998,275.9,93.18,10.62451,7043.0,50.0,101.0,26.0,9.0,67.0,12.0,177.0,88.0,3.9318256327243257,4.624972813284271,3.295836866004329,2.302585092994046,4.219507705176107,2.5649493574615367,5.181783550292085,4.48863636973214
三亚市,2018,0,0.0,1,40000.0,1,40000.0,0.0,0.0,0.0,0.0,,,116.0,187.0,49.0,37.0,121.0,39.0,352.0,197.0,4.762173934797756,5.236441962829949,3.912023005428146,3.6375861597263857,4.804021044733257,3.688879454113936,5.8664680569332965,5.288267030694535,0.561621006149462,0.714974942547831,,,,,,,,,,,,,,,,,,,,,,,,30.77,3.708443,3.0,3.795877,-3.708443,0.3236996666666666,3.0,0.34493,3.51662825,3.0,3.7429155,-0.918678,3.0,-0.904249,12630970.0,15240727.0,5955057.0,2.12104938710074,2.55929153994664,4.68034092704738,3.479998590701763,21699.0,95.83,21699.0,95.83,226.4322237,62.22669,311.57,95.83,10.63419,,92.0,145.0,29.0,4.0,102.0,27.0,266.0,133.0,4.532599493153256,4.983606621708336,3.4011973816621555,1.6094379124341005,4.634728988229636,3.332204510175204,5.58724865840025,4.897839799950911
三亚市,2019,0,0.0,1,40000.0,1,40000.0,0.0,0.0,0.0,0.0,,,135.0,337.0,58.0,34.0,194.0,43.0,530.0,271.0,4.912654885736052,5.823045895483019,4.07753744390572,3.555348061489413,5.272999558563747,3.784189633918261,6.274762021241939,5.605802066295998,0.506522937181183,0.561621006149462,,,,,,,,,,,,,,,,,,,,,,,,30.68,3.85088925,4.0,3.8800965,-3.85088925,0.4109214375,4.0,0.4096014999999999,3.48506925,4.0,3.247306,-0.90720975,4.0,-0.924922,13086260.0,15228904.0,6780000.0,1.93012684365782,2.24615103244838,4.17627787610619,3.199538874607043,35211.0,98.85,35211.0,98.85,356.2063733,68.91362,1424.59,98.85,10.84435,26000.0,116.0,187.0,49.0,37.0,121.0,39.0,352.0,197.0,4.762173934797756,5.236441962829949,3.912023005428146,3.6375861597263857,4.804021044733257,3.688879454113936,5.8664680569332965,5.288267030694535
三亚市,2020,0,0.0,1,40000.0,1,40000.0,0.0,0.0,0.0,0.0,,,267.0,1145.0,98.0,37.0,585.0,89.0,1510.0,711.0,5.5909869805108565,7.044032897274685,4.59511985013459,3.6375861597263857,6.373319789577012,4.499809670330265,7.32052696227274,6.568077911411976,0.55293957389525,0.506522937181183,,,,,,,,,,,,,,,,,,,,,,,,69.14,3.9691794,5.0,3.957509,-3.9691794,0.58701425,5.0,0.6080375,3.69142075,5.0,3.566723,-0.9468976,5.0,-0.946507,12642292.0,16310317.0,6950000.0,1.81903482014388,2.34680820143885,4.16584302158273,3.5501906563848102,38428.0,103.73,38428.0,103.73,370.4617758,70.88971,1503.2,103.73,11.78584,31000.0,135.0,337.0,58.0,34.0,194.0,43.0,530.0,271.0,4.912654885736052,5.823045895483019,4.07753744390572,3.555348061489413,5.272999558563747,3.784189633918261,6.274762021241939,5.605802066295998
三亚市,2021,2,700.0,3,40700.0,2,700.0,1.5,2.0,,1.0,,0.5,361.0,943.0,72.0,82.0,1244.0,89.0,1376.0,1415.0,5.891644211825772,6.8501261661455,4.290459441148391,4.418840607796598,7.126890808898808,4.499809670330265,7.227662498728654,7.255591274253665,0.57881434697771,0.55293957389525,0.0,5.0,5.0,0.0,,,,,,,,,1.0,11800.0,8000.0,200.0,0.0,20000.0,19800.0,0.59,0.4,1.475,0.99,45.14,3.9964666,5.0,3.986882,-3.9964666,0.4481836428571428,5.0,0.4417615,4.223875285714286,5.0,3.9383435,-0.9741626,5.0,-0.938542,13155323.0,17422987.0,8350000.0,1.57548778443114,2.08658526946108,3.66207305389222,4.205626211512625,53858.0,105.61,53858.0,105.61,509.9706467,85.11401,1585.45,105.61,12.47229,,267.0,1145.0,98.0,37.0,585.0,89.0,1510.0,711.0,5.5909869805108565,7.044032897274685,4.59511985013459,3.6375861597263857,6.373319789577012,4.499809670330265,7.32052696227274,6.568077911411976
三亚市,2022,2,274.5,5,40974.5,4,974.5,,1.0,0.0,0.0,,0.0,677.0,950.0,190.0,179.0,1079.0,161.0,1817.0,1419.0,6.519147287940395,6.85751406254539,5.25227342804663,5.19295685089021,6.984716320118266,5.087596335232384,7.505492274737424,7.258412150595307,0.428104214046647,0.57881434697771,0.0,13.0,13.0,847.11,98.0,229.0,1.534629505,13.26530612,42.79475983,,,,1.0,100.0,1800.0,0.0,0.0,1900.0,0.0,0.0526315789473684,0.9473684210526316,0.0555555555555555,0.0,46.83,4.1247065,2.0,4.1247065,-4.1247065,0.3420990833333333,2.0,0.3344595,6.3131069166666665,2.0,4.9019325,-0.9283495,2.0,-0.9283495,13553858.0,19039387.0,8470000.0,1.60021936245573,2.24786151121606,3.84808087367178,3.785426176330181,45922.0,106.59,45922.0,106.59,430.8284079,86.66949,1802.9,106.59,11.47681,,361.0,943.0,72.0,82.0,1244.0,89.0,1376.0,1415.0,5.891644211825772,6.8501261661455,4.290459441148391,4.418840607796598,7.126890808898808,4.499809670330265,7.227662498728654,7.255591274253665
三亚市,2023,2,1600.0,7,42574.5,6,2574.5,0.0,0.0,0.0,0.0,,,1210.0,1519.0,165.0,486.0,959.0,144.0,2894.0,1589.0,7.099201743553092,7.326465613840322,5.111987788356544,6.18826412308259,6.866933284461882,4.976733742420574,7.970740390007095,7.371489295214277,0.63404396613014,0.428104214046647,0.0,12.0,12.0,971.34,147.4,232.5,1.2354,8.1411,63.3978,1.534629505,13.26530612,42.79475983,2.0,19900.0,89400.0,50700.0,0.0,160000.0,109300.0,0.124375,0.55875,0.2225950782997763,0.683125,37.9,4.162247000000001,2.0,4.162247000000001,-4.162247000000001,0.6611914166666667,2.0,0.6370325,4.023501583333333,2.0,5.140292499999999,-0.9786135,2.0,-0.9786135,13865381.0,20147477.0,9710000.0,1.42794860968074,2.07492039134912,3.50286900102987,4.198399409552704,65833.0,110.6,65833.0,110.6,595.2350814,97.13372,2059.16,111.0,13.26435,,677.0,950.0,190.0,179.0,1079.0,161.0,1817.0,1419.0,6.519147287940395,6.85751406254539,5.25227342804663,5.19295685089021,6.984716320118266,5.087596335232384,7.505492274737424,7.258412150595307
三亚市,2024,0,0.0,7,42574.5,6,2574.5,0.0,0.0,0.0,0.0,,,1557.0,437.0,85.0,980.0,1442.0,170.0,2079.0,2592.0,7.351158226430694,6.082218910376446,4.454347296253507,6.888572459565364,7.274479558773871,5.14166355650266,7.640123172695364,7.860570785538664,0.610458413971692,0.63404396613014,,,,,,,,,,,,,,,,,,,,,,,,54.41,4.190249,2.0,4.190249,-4.190249,0.559763625,2.0,0.557372,5.584773125,2.0,5.5911385,-0.9466425,2.0,-0.9466425,13739200.0,20747500.0,10047000.0,1.3674927839156,2.06504429182841,3.432537075744,3.978753054753297,51643.0,111.61,51643.0,111.61,462.7094346,100.47033,,,14.4036,,1210.0,1519.0,165.0,486.0,959.0,144.0,2894.0,1589.0,7.099201743553092,7.326465613840322,5.111987788356544,6.18826412308259,6.866933284461882,4.976733742420574,7.970740390007095,7.371489295214277
