变量名,缺失值个数,缺失率
早期投资金额占比,2602,0.9393501805054152
早期投资事件占比,1813,0.6545126353790613
社会资本撬动效率,1772,0.6397111913357401
GP认缴额,1767,0.6379061371841155
基金总认缴额,1767,0.6379061371841155
已匹配认缴额,1767,0.6379061371841155
已匹配认缴额占比,1767,0.6379061371841155
政府出资占总认缴比,1767,0.6379061371841155
政府认缴额,1767,0.6379061371841155
未知类型认缴额,1767,0.6379061371841155
社会资本占总认缴比,1767,0.6379061371841155
社会资本口径基金数量,1767,0.6379061371841155
社会资本认缴额,1767,0.6379061371841155
实际利用外资额,1089,0.3931407942238267
财政自给率,879,0.3173285198555957
公共财政支出_亿,878,0.31696750902527077
财政自给率_滞后一期,877,0.31660649819494585
债务压力_滞后一期,872,0.3148014440433213
债务压力,866,0.31263537906137184
公共财政收入_亿,866,0.31263537906137184
债务负担_滞后一期,865,0.31227436823104693
债务负担,856,0.30902527075812275
财政科技支出,799,0.2884476534296029
地区生产总值,672,0.24259927797833936
第二产业增加值,672,0.24259927797833936
地级市FC融资约束均值,535,0.1931407942238267
地级市FC融资约束均值_中位数,535,0.1931407942238267
地级市FC融资约束均值_样本企业数,535,0.1931407942238267
地级市KZ融资约束均值,535,0.1931407942238267
地级市KZ融资约束均值_中位数,535,0.1931407942238267
地级市KZ融资约束均值_样本企业数,535,0.1931407942238267
地级市WW融资约束均值,521,0.188086642599278
地级市WW融资约束均值_中位数,521,0.188086642599278
地级市WW融资约束均值_样本企业数,521,0.188086642599278
地级市SA融资约束均值,520,0.18772563176895307
地级市SA融资约束均值_中位数,520,0.18772563176895307
地级市SA融资约束均值_原值均值,520,0.18772563176895307
地级市SA融资约束均值_样本企业数,520,0.18772563176895307
GDP_债务表_亿,509,0.18375451263537906
债券余额合计_亿,509,0.18375451263537906
地方政府债余额_亿,509,0.18375451263537906
城投债余额_亿,509,0.18375451263537906
创业活跃度口径常住人口_万人,338,0.1220216606498195
专利申请总量_对数_滞后一期,322,0.11624548736462094
专利申请总量_滞后一期,322,0.11624548736462094
专利获得总量_对数_滞后一期,322,0.11624548736462094
专利获得总量_滞后一期,322,0.11624548736462094
发明申请量_对数_滞后一期,322,0.11624548736462094
发明申请量_滞后一期,322,0.11624548736462094
发明获得量_对数_滞后一期,322,0.11624548736462094
发明获得量_滞后一期,322,0.11624548736462094
外观设计申请量_对数_滞后一期,322,0.11624548736462094
外观设计申请量_滞后一期,322,0.11624548736462094
外观设计获得量_对数_滞后一期,322,0.11624548736462094
外观设计获得量_滞后一期,322,0.11624548736462094
实用新型申请量_对数_滞后一期,322,0.11624548736462094
实用新型申请量_滞后一期,322,0.11624548736462094
实用新型获得量_对数_滞后一期,322,0.11624548736462094
实用新型获得量_滞后一期,322,0.11624548736462094
常住人口,320,0.11552346570397112
注册企业数,280,0.10108303249097472
注册企业数_填补,280,0.10108303249097472
市场化水平,275,0.09927797833935018
早期投资金额_人民币万元,274,0.09891696750902527
政府财政透明度,272,0.09819494584837545
创业活跃度,270,0.09747292418772563
创业活跃度口径常住人口_万人_填补,270,0.09747292418772563
年末金融机构各项贷款余额,270,0.09747292418772563
年末金融机构存款余额,270,0.09747292418772563
财政收支压力,270,0.09747292418772563
财政收支压力_滞后一期,270,0.09747292418772563
金融发展口径地区生产总值,270,0.09747292418772563
金融发展水平,270,0.09747292418772563
金融发展水平1,270,0.09747292418772563
金融发展水平2,270,0.09747292418772563
基金投资总额_人民币万元,241,0.08700361010830325
基金累计设立规模_人民币万元,141,0.050902527075812276
基金近五年设立规模_人民币万元,90,0.032490974729241874
专利申请总量,50,0.018050541516245487
专利申请总量_对数,50,0.018050541516245487
专利获得总量,50,0.018050541516245487
专利获得总量_对数,50,0.018050541516245487
发明申请量,50,0.018050541516245487
发明申请量_对数,50,0.018050541516245487
发明获得量,50,0.018050541516245487
发明获得量_对数,50,0.018050541516245487
外观设计申请量,50,0.018050541516245487
外观设计申请量_对数,50,0.018050541516245487
外观设计获得量,50,0.018050541516245487
外观设计获得量_对数,50,0.018050541516245487
实用新型申请量,50,0.018050541516245487
实用新型申请量_对数,50,0.018050541516245487
实用新型获得量,50,0.018050541516245487
实用新型获得量_对数,50,0.018050541516245487
基金当年设立规模_人民币万元,18,0.006498194945848376
城市,0,0.0
基金当年设立数量,0,0.0
基金投资事件总数,0,0.0
基金累计设立数量,0,0.0
基金近五年设立数量,0,0.0
年份,0,0.0
早期投资事件数,0,0.0
