city,year,total_investment_amount_rmb_m,total_investment_count,early_investment_amount_rmb_m,early_investment_count,early_investment_amount_share,early_investment_count_share
三亚市,2015,0.0,0,0.0,0,,
三亚市,2016,,1,,1,,1.0
三亚市,2017,0.0,0,0.0,0,,
三亚市,2018,0.0,0,0.0,0,,
三亚市,2019,0.0,0,0.0,0,,
三亚市,2020,0.0,0,0.0,0,,
三亚市,2021,1.5,2,,1,,0.5
三亚市,2022,,1,0.0,0,,0.0
三亚市,2023,0.0,0,0.0,0,,
三亚市,2024,0.0,0,0.0,0,,
三门峡市,2015,0.0,0,0.0,0,,
三门峡市,2016,0.0,0,0.0,0,,
三门峡市,2017,0.0,0,0.0,0,,
三门峡市,2018,0.0,0,0.0,0,,
三门峡市,2019,,2,,2,,1.0
三门峡市,2020,,1,,1,,1.0
三门峡市,2021,0.0,0,0.0,0,,
三门峡市,2022,0.0,0,0.0,0,,
三门峡市,2023,0.0,0,0.0,0,,
三门峡市,2024,0.0,0,0.0,0,,
上海市,2015,477.89,31,143.9,14,,0.451613
上海市,2016,4390.3,42,22.55,8,,0.190476
上海市,2017,1909.0,46,178.6,18,,0.391304
上海市,2018,3287.62,49,200.9,15,,0.306122
上海市,2019,7683.31,71,676.27,11,,0.15493
上海市,2020,17868.89,168,334.07,32,,0.190476
上海市,2021,8013.49,238,148.83,56,,0.235294
上海市,2022,10713.39,215,1574.78,76,,0.353488
上海市,2023,7931.45,135,842.16,35,,0.259259
上海市,2024,11747.12,115,1196.8,29,,0.252174
上饶市,2015,0.0,0,0.0,0,,
上饶市,2016,0.0,0,0.0,0,,
上饶市,2017,,1,,1,,1.0
上饶市,2018,940.0,1,0.0,0,0.0,0.0
上饶市,2019,1000.0,2,1000.0,2,,1.0
上饶市,2020,0.0,0,0.0,0,,
上饶市,2021,,4,,4,,1.0
上饶市,2022,0.0,0,0.0,0,,
上饶市,2023,0.0,0,0.0,0,,
上饶市,2024,0.0,0,0.0,0,,
东莞市,2015,2.08,2,,1,,0.5
东莞市,2016,128.51,8,47.0,2,0.36573,0.25
东莞市,2017,130.04,4,0.0,0,0.0,0.0
东莞市,2018,135.5,8,10.0,3,,0.375
东莞市,2019,218.82,11,30.0,2,,0.181818
东莞市,2020,111.13,24,,3,,0.125
东莞市,2021,81.5,22,19.0,8,,0.363636
东莞市,2022,231.51,10,180.0,4,,0.4
东莞市,2023,104.66,17,21.33,10,,0.588235
东莞市,2024,96.35,7,29.21,3,,0.428571
东营市,2015,28.0,2,,1,,0.5
东营市,2016,0.0,0,0.0,0,,
东营市,2017,,1,,1,,1.0
东营市,2018,0.0,0,0.0,0,,
东营市,2019,0.0,0,0.0,0,,
东营市,2020,,1,0.0,0,,0.0
东营市,2021,0.0,0,0.0,0,,
东营市,2022,0.0,0,0.0,0,,
东营市,2023,0.0,0,0.0,0,,
东营市,2024,0.0,0,0.0,0,,
中山市,2015,0.0,0,0.0,0,,
中山市,2016,,1,,1,,1.0
中山市,2017,0.0,0,0.0,0,,
中山市,2018,0.0,0,0.0,0,,
中山市,2019,0.0,0,0.0,0,,
中山市,2020,0.0,0,0.0,0,,
中山市,2021,0.0,0,0.0,0,,
中山市,2022,,4,0.0,0,,0.0
中山市,2023,112.0,2,0.0,0,0.0,0.0
中山市,2024,470.0,9,150.0,3,0.319149,0.333333
临沂市,2015,0.0,0,0.0,0,,
临沂市,2016,0.0,0,0.0,0,,
临沂市,2017,0.0,0,0.0,0,,
临沂市,2018,0.0,0,0.0,0,,
临沂市,2019,0.0,0,0.0,0,,
临沂市,2020,0.0,0,0.0,0,,
临沂市,2021,0.0,0,0.0,0,,
临沂市,2022,0.0,0,0.0,0,,
临沂市,2023,,2,0.0,0,,0.0
临沂市,2024,20.0,2,20.0,1,,0.5
丽水市,2015,0.0,0,0.0,0,,
丽水市,2016,,1,0.0,0,,0.0
丽水市,2017,,1,0.0,0,,0.0
丽水市,2018,,2,,1,,0.5
丽水市,2019,60.0,2,0.0,0,0.0,0.0
丽水市,2020,10.0,1,0.0,0,0.0,0.0
丽水市,2021,0.0,0,0.0,0,,
丽水市,2022,0.0,0,0.0,0,,
丽水市,2023,150.0,1,0.0,0,0.0,0.0
丽水市,2024,370.0,4,0.0,0,0.0,0.0
乌兰察布市,2015,0.0,0,0.0,0,,
乌兰察布市,2016,0.0,0,0.0,0,,
乌兰察布市,2017,,1,0.0,0,,0.0
乌兰察布市,2018,0.0,0,0.0,0,,
乌兰察布市,2019,0.0,0,0.0,0,,
乌兰察布市,2020,0.0,0,0.0,0,,
乌兰察布市,2021,0.0,0,0.0,0,,
乌兰察布市,2022,0.0,0,0.0,0,,
乌兰察布市,2023,0.0,0,0.0,0,,
乌兰察布市,2024,0.0,0,0.0,0,,
