city,year,fund_established_count,fund_established_scale_rmb_m,cumulative_fund_established_count,cumulative_fund_established_scale_rmb_m,rolling5_fund_established_count,rolling5_fund_established_scale_rmb_m
三亚市,2015,0,0.0,0,0.0,0,0.0
三亚市,2016,1,40000.0,1,40000.0,1,40000.0
三亚市,2017,0,0.0,1,40000.0,1,40000.0
三亚市,2018,0,0.0,1,40000.0,1,40000.0
三亚市,2019,0,0.0,1,40000.0,1,40000.0
三亚市,2020,0,0.0,1,40000.0,1,40000.0
三亚市,2021,2,700.0,3,40700.0,2,700.0
三亚市,2022,2,274.5,5,40974.5,4,974.5
三亚市,2023,2,1600.0,7,42574.5,6,2574.5
三亚市,2024,0,0.0,7,42574.5,6,2574.5
三亚市,2025,1,1000.0,8,43574.5,7,3574.5
三明市,2015,0,0.0,0,0.0,0,0.0
三明市,2016,1,500.0,1,500.0,1,500.0
三明市,2017,0,0.0,1,500.0,1,500.0
三明市,2018,2,600.0,3,1100.0,3,1100.0
三明市,2019,0,0.0,3,1100.0,3,1100.0
三明市,2020,0,0.0,3,1100.0,3,1100.0
三明市,2021,0,0.0,3,1100.0,2,600.0
三明市,2022,0,0.0,3,1100.0,2,600.0
三明市,2023,0,0.0,3,1100.0,0,0.0
三明市,2024,0,0.0,3,1100.0,0,0.0
三明市,2025,0,0.0,3,1100.0,0,0.0
三门峡市,2015,0,0.0,0,0.0,0,0.0
三门峡市,2016,0,0.0,0,0.0,0,0.0
三门峡市,2017,0,0.0,0,0.0,0,0.0
三门峡市,2018,1,10000.0,1,10000.0,1,10000.0
三门峡市,2019,5,883.5,6,10883.5,6,10883.5
三门峡市,2020,0,0.0,6,10883.5,6,10883.5
三门峡市,2021,0,0.0,6,10883.5,6,10883.5
三门峡市,2022,2,4120.0,8,15003.5,8,15003.5
三门峡市,2023,1,100.0,9,15103.5,8,5103.5
三门峡市,2024,2,200.0,11,15303.5,5,4420.0
三门峡市,2025,0,0.0,11,15303.5,5,4420.0
上海市,2015,34,67199.2725,34,67199.2725,34,67199.2725
上海市,2016,59,354765.3734,93,421964.6459,93,421964.6459
上海市,2017,28,24306.2987,121,446270.9446,121,446270.9446
上海市,2018,36,96925.4738,157,543196.4184,157,543196.4184
上海市,2019,27,130698.34,184,673894.7584,184,673894.7584
上海市,2020,31,143854.7683,215,817749.5267,181,750550.2542
上海市,2021,32,199857.7923,247,1017607.319,154,595642.6731
上海市,2022,34,202476.8784,281,1220084.1974,160,773813.2528
上海市,2023,22,35747.44,303,1255831.6374,146,712635.219
上海市,2024,13,21522.31,316,1277353.9474,132,603459.189
上海市,2025,6,90523.0,322,1367876.9474,107,550127.4207
上饶市,2015,0,0.0,0,0.0,0,0.0
上饶市,2016,0,0.0,0,0.0,0,0.0
上饶市,2017,3,1400.1,3,1400.1,3,1400.1
上饶市,2018,1,4000.2,4,5400.3,4,5400.3
上饶市,2019,6,3021.02,10,8421.32,10,8421.32
上饶市,2020,2,472.0,12,8893.32,12,8893.32
上饶市,2021,1,3000.0,13,11893.32,13,11893.32
上饶市,2022,1,500.0,14,12393.32,11,10993.22
上饶市,2023,0,0.0,14,12393.32,10,6993.02
上饶市,2024,1,1015.0,15,13408.32,5,4987.0
上饶市,2025,0,0.0,15,13408.32,3,4515.0
东莞市,2015,1,200.0,1,200.0,1,200.0
东莞市,2016,0,0.0,1,200.0,1,200.0
东莞市,2017,2,1500.0,3,1700.0,3,1700.0
东莞市,2018,8,6333.0,11,8033.0,11,8033.0
东莞市,2019,4,7425.0,15,15458.0,15,15458.0
东莞市,2020,3,1400.0,18,16858.0,17,16658.0
东莞市,2021,2,10500.0,20,27358.0,19,27158.0
东莞市,2022,8,4240.8,28,31598.8,25,29898.8
东莞市,2023,3,1532.5,31,33131.3,20,25098.3
